timestamp,HIC03062,HIC03044,AI03142,AI94011A,AI94011C,AI94011D,AI94011E,ground_truth_H2_N2_ratio
2023-07-01 00:05:00,109.9991684,0.783999979,14.01156712,4.360607815,91.03165588,2.884753799,0.098855019,2.8652273958438665
2023-07-01 00:10:00,109.9993088,0.783999979,14.04930382,4.364123821,91.31577454,2.570168781,0.097332954,2.865396499756201
2023-07-01 00:15:00,109.9994232,0.783999979,14.06960869,4.367528343,91.59763947,2.255717325,0.095641729,2.859329300900868
2023-07-01 00:20:00,109.9995193,0.783999979,14.09185009,4.367595196,91.59748383,2.255739641,0.095801938,2.845370160596328
2023-07-01 00:25:00,109.9995956,0.783999979,14.12417679,4.361141968,91.57855835,2.260946655,0.095499311,2.8452109915204216
2023-07-01 00:30:00,109.9996704,0.783999979,14.12765045,4.354777718,91.56064453,2.266176081,0.095223388,2.845066524141292
2023-07-01 00:35:00,109.9997223,0.783999979,14.08049583,4.35502243,91.55885162,2.265931225,0.095303488,2.845046786868156
2023-07-01 00:40:00,109.9997589,0.783999979,14.01617603,4.352174091,91.11312256,2.780188942,0.098231959,2.8464852957521383
2023-07-01 00:45:00,109.9997986,0.783999979,13.99306679,4.349770927,90.66552124,3.293934631,0.101213777,2.864984980984161
2023-07-01 00:50:00,109.9998352,0.783999979,14.0142395,4.34970417,90.66645508,3.293778992,0.101124763,2.8638958114334883
2023-07-01 00:55:00,109.9998749,0.783999979,14.04696674,4.342939186,90.89465485,3.056966877,0.098774874,2.864728919279779
2023-07-01 01:00:00,109.9998993,0.783999979,14.04476261,4.335640049,91.12137604,2.820087957,0.096291518,2.8650235802888884
2023-07-01 01:05:00,109.9999008,0.783999979,14.02679596,4.336129761,91.12090759,2.819776392,0.096246994,2.8650359106578227
2023-07-01 01:10:00,109.9999008,0.783999979,14.0229887,4.356112671,91.298172,2.622395802,0.096647559,2.8661588075880164
2023-07-01 01:15:00,109.9999008,0.783999979,14.02639523,4.37605114,91.47170105,2.424881649,0.096638653,2.866191140315013
2023-07-01 01:20:00,109.9999008,0.783999979,14.04843597,4.375784111,91.46967773,2.424636889,0.09656744,2.866564879735027
2023-07-01 01:25:00,109.9999008,0.783999979,14.08583927,4.377809048,91.50628204,2.381600237,0.09975401,2.86627595811743
2023-07-01 01:30:00,109.9999008,0.783999979,14.10434017,4.379055214,91.54008026,2.338430166,0.103447974,2.8663962912098646
2023-07-01 01:35:00,109.9999008,0.783999979,14.1065443,4.378276348,91.54024048,2.33693924,0.103029621,2.8429255778192344
2023-07-01 01:40:00,109.9999008,0.783999979,14.05237656,4.354154587,91.23197327,2.743049335,0.09944247,2.8415472370699693
2023-07-01 01:45:00,109.9999008,0.783999979,13.99954491,4.32896452,90.92370758,3.147579622,0.096068978,2.8411765606618693
2023-07-01 01:50:00,109.9999008,0.783999979,13.99079514,4.33061142,90.92519073,3.147802114,0.095775235,2.840895278708913
2023-07-01 01:55:00,109.9999008,0.783999979,14.03040199,4.327740669,90.94676056,3.092081451,0.095445895,2.840274416471913
2023-07-01 02:00:00,109.9999008,0.783999979,14.07274818,4.323601532,90.95992279,3.034402561,0.095561621,2.8735871777907045
2023-07-01 02:05:00,109.9999008,0.783999979,14.06486664,4.325070381,90.96390076,3.035537529,0.094876228,2.887574054610506
2023-07-01 02:10:00,109.9999008,0.783999979,14.03935261,4.320708752,91.11911774,2.851174831,0.095481515,2.8876540682137444
2023-07-01 02:15:00,109.9999008,0.783999979,14.02579403,4.31583519,91.27037048,2.664942694,0.096077871,2.887423313829743
2023-07-01 02:20:00,109.9999008,0.783999979,14.03053627,4.316614056,91.28002625,2.666633844,0.095935464,2.887677012860279
2023-07-01 02:25:00,109.9999008,0.783999979,14.04903717,4.320753098,91.26024323,2.515538836,0.096131301,2.862632926442734
2023-07-01 02:30:00,109.9999008,0.783999979,14.06760521,4.325849342,91.24848175,2.364243269,0.097021388,2.851969557652384
2023-07-01 02:35:00,109.9999008,0.783999979,14.08076286,4.32487011,91.24949493,2.366513014,0.096736535,2.8519872312731134
2023-07-01 02:40:00,109.9999008,0.783999979,14.09071445,4.32202177,91.10097046,2.544956589,0.096264802,2.852071193712417
2023-07-01 02:45:00,109.9999008,0.783999979,14.0667366,4.321109295,90.95852051,2.724623966,0.0963449,2.852079711059255
2023-07-01 02:50:00,109.9999008,0.783999979,14.02225399,4.320575237,90.95867767,2.724312401,0.096229196,2.871103641352294
2023-07-01 02:55:00,109.9999008,0.783999979,13.99527054,4.308803463,90.72525787,3.007610369,0.095686209,2.890629615421563
2023-07-01 03:00:00,109.9999008,0.783999979,14.02051773,4.296942902,90.49222717,3.291041994,0.094911848,2.890381233938621
2023-07-01 03:05:00,109.9999008,0.783999979,14.05204296,4.297410107,90.49355011,3.291264248,0.09493856,2.8907448852935933
2023-07-01 03:10:00,109.9999008,0.783999979,14.06239548,4.302105427,90.61076813,3.084604406,0.094377828,2.890442736933599
2023-07-01 03:15:00,109.9999008,0.783999979,14.05351238,4.306511497,90.7282196,2.877855492,0.094644809,2.877832607415368
2023-07-01 03:20:00,109.9999008,0.783999979,14.04576378,4.307156849,90.72891998,2.877989006,0.094537997,2.8465575196431936
2023-07-01 03:25:00,109.9999008,0.783999979,14.0499054,4.32064209,91.04692078,2.573662376,0.096665372,2.846642454102515
2023-07-01 03:30:00,109.9999008,0.783999979,14.06426544,4.334661484,91.3663208,2.26978097,0.098935139,2.8464917562031804
2023-07-01 03:35:00,109.9999008,0.783999979,14.08477001,4.334305191,91.36234894,2.270003462,0.09898852,2.846312634769378
2023-07-01 03:40:00,109.9999008,0.783999979,14.11829929,4.334794712,91.42730713,2.234332561,0.097813582,2.856018429474753
2023-07-01 03:45:00,109.9965286,0.783999896,14.16071148,4.335751438,91.4891449,2.200063419,0.096611929,2.876265917120864
2023-07-01 03:50:00,109.9932037,0.78369894,14.14247704,4.335417747,91.48564148,2.199974537,0.096638668,2.8757006601643917
2023-07-01 03:55:00,109.9943481,0.782999992,14.0834343,4.318772697,91.04279175,2.745719528,0.098534584,2.875692734086777
2023-07-01 04:00:00,109.9952957,0.782999992,14.04983864,4.301994324,90.60181122,3.291264439,0.100483909,2.87566972368003
2023-07-01 04:05:00,109.9960892,0.782999992,14.05872192,4.301927662,90.60196686,3.291219902,0.100510569,2.876376891237567
